epoch,train_loss,train_acc,val_f1,val_macro_f1,val_precision
1,0.8322702685633937,0.7844997651479568,0.7030230264582413,0.8363809070461026,0.7067067909802097
2,0.7262936576350674,0.8419915453264444,0.6993383200436366,0.835031100429887,0.7068631693237584
3,0.7082007219483545,0.8542977923907938,0.7235871808533189,0.8483055381057394,0.7312783457833806
4,0.7025977188760454,0.8576796618130578,0.7233826602906218,0.8469265479755644,0.733708175506487
5,0.705338445869652,0.8562705495537811,0.7201222767235393,0.8469546979281165,0.7403327938281974
6,0.6964480714039044,0.8632221700328793,0.7316840435276798,0.852360327182582,0.7406978505566288
7,0.6888550580800833,0.8686707374354157,0.7152059208775414,0.8440083011586864,0.7251198192982174
8,0.6802881882713364,0.8696101456082668,0.7243394349421679,0.850052768347789,0.7381159274577389
9,0.6779899976632975,0.8743071864725223,0.7359576077423333,0.8539054016419371,0.7358464600587609
10,0.669280922090685,0.8773132926256458,0.7404314212689727,0.8573352505550719,0.7412187061074498
11,0.6682099755461868,0.8802254579614842,0.7446431605583174,0.8593617550416713,0.7464650089393026
12,0.6596122716998195,0.8858619069985909,0.733339856189656,0.8526469139878031,0.7480389825288353
13,0.6546227402157254,0.8897134805072804,0.7399103746616131,0.8563476712597433,0.7437313641615325
14,0.6465940365383217,0.8947862846406763,0.7361939888749217,0.8532571453887835,0.7398605977290538
15,0.6461126931436785,0.8948802254579615,0.7482880605234433,0.8611362054913707,0.7494192292517514
16,0.6432119366284963,0.896195396899953,0.7347148962368536,0.8546129926498403,0.7504966620520312
17,0.6314749245171074,0.9051197745420385,0.7360410985311282,0.8547610467674904,0.7423285971773531
18,0.6269218066970149,0.9037106622827619,0.7371698397721446,0.8557210584130109,0.7482960567599063
19,0.6186963787844947,0.9126350399248473,0.7443830902081646,0.8591112913794783,0.7466133777454756
20,0.6203228802652331,0.9072804133395961,0.7477697541245004,0.861524727955155,0.7509281073025316
21,0.6047075103532087,0.9190230155002348,0.7401433003503625,0.855801839625858,0.7412511242220827
22,0.6025647488800255,0.9197745420385157,0.7396351147934198,0.8563627269094921,0.7416575606062189
23,0.5977966093623245,0.9223109441052137,0.7464000530044272,0.8600115412689622,0.747298839929791
24,0.5861829356388287,0.927665570690465,0.7391086815363292,0.8557900745209265,0.7417433871682207
25,0.5816694780870959,0.9294504462188821,0.7446156335430313,0.8589293620990587,0.7470780918393325
26,0.5812687289428424,0.9334899013621418,0.7434504345337616,0.8579388161566915,0.7450451386500189
27,0.5729190081626445,0.9363081258806951,0.7423908160846193,0.8567836394185842,0.7422708126645996
28,0.5802752307585409,0.9325504931892907,0.7408961878453911,0.8567735382448808,0.7434530678755696
29,0.5728837309835909,0.9361202442461249,0.7445508971106647,0.8590351675739563,0.744971513073951
30,0.58059964273069,0.9317989666510099,0.744078118664158,0.8584987045966012,0.744347397269576
